Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"IHC New Zealand Inc. Library & Information Service","Other","Health","Active","","WIHC","Willbank House (Level 15), 57 Willis Street, Wellington  6011","PO Box 4155, , Wellington 6140 -","www.ihc.org.nz","+64 4 472 2247","+64 4 472 0429","cherie.walker@ihc.org.nz","","","T","HealthLibs Network","Cherie Walker","Library Manager","cherie.walker@ihc.org.nz","","+64 4 471 5741","Cherie Walker","Library Manager","cherie.walker@ihc.org.nz","+64 4 471 5741","","","","","","","T","T","T","Charter","T","14","14","14","14","","","25","39","25","39","Wellington","Wellington","-41.2876860623167","174.775570729372",
"Department of Internal Affairs Information Centre","Other","Government","Active","Te Tari Taiwhenua","WIN","46 Waring Taylor Street, , Wellington","PO Box 805, , Wellington - 6140","www.dia.govt.nz","+64 4 495 7200","","library@dia.govt.nz","Incorporates Archives New Zealand library","Department of Internal Affairs Library","T","","Rachael 'Asi","Manager Library and Research Services","rachael.asi@dia.govt.nz","","+64 4 460 4860","Lynette Davidson-Adams","Library and Research Services Advisor","library@dia.govt.nz","+64 4 494 0659","","Ross Tolley","","","+64 4 495 9429","","T","T","T","Charter","T","14","14","14","14","","Urgent loans will be cost recovery.","20","34","20","34","Wellington","Wellington","-41.2824788572092","174.778009486555",
"National Assessments Bureau Information Centre","Other","Government","Active","Te Ranga Tatari Take Tawahi","WINT","L2, Pipitea House on Pipitea, 1-15 Pipitea St, Wellington","PO Box 12209, , Wellington - 6144","","+64 4 819 8232","+64 4 819 8243","wint.lib@dpmc.govt.nz","","","T","","Clare Hill","Information Centre Manager","wint.lib@dpmc.govt.nz","","+64 4 819 8233","Diana Maunder","Interloans","wint.lib@dpmc.govt.nz","+64 4 819 8232","","","","","","","T","F","T","Charter","F","0","30","0","30","No Charges","","0","40","0","40","Wellington","Wellington","-41.2788","174.775570886458",
"Southland District Libraries","Public","Public Library","Active","","WISP","11 Meldrum Street, , Winton","PO Box 25, , Winton - 9741","http://www.southlanddc.govt.nz/library-services","+64 3 236 0476","+64 3 236 7198","winton.library@southlanddc.govt.nz","Dont lend materials less than 6 mths old.","","T","","Lynda Hodge","Library Manager","lynda.hodge@southlanddc.govt.nz","","","Morag Gray","Team Leader, Library Support Services","Morag Gray [Morag.Gray@southlanddc.govt.nz]","+64 3 236 0476","","","","","","","T","T","T","Charter","T","14","14","14","14","Free Otago/Southland libs & level 3 Public Libs.","","14","28","14","28","Winton","Southland","-46.1428668234257","168.323791916516",
"New Zealand Trade & Enterprise Library Services","Other","Government","Active","Te Puo Tauhokohoko me te Ahumani","WIZ","Level 15, Majestic Centre, 100 Willis Street, Wellington","PO Box 2878, , Wellington - 6140","www.nzte.govt.nz","+64 4 816 8100","+64 4 816 8101","library@nzte.govt.nz","Loan / Copy / Urgents all gratis.","Trade & Enterprise, New Zealand, Library","T","SLIS (Specialist Libraries and Information Service","Cate Cheesman","Librarian","cate.cheesman@nzte.govt.nz","+64 4 816 8371","+64 4 816 8278","Cate Cheesman","","cate.cheesman@nzte.govt.nz","+64 4 816 8278","","","","","","","F","F","T","Non-Charter","F","","","","","Loan / Copy / Urgents all gratis.","","","","","","Wellington","Wellington","-41.2885218284192","174.7751036651",
"Ministry of Justice Library","Other","Government","Active","Te Manatu Ture","WJ","Level 4, Justice Centre, 19 Aitken Street, Wellington","PO Box 180, SX 10088, Wellington - 6140","www.justice.govt.nz","+64 4 494 9747","+64 4 494 9916","IDM.Enquiries@justice.govt.nz","GIG, LIANZA.","","T","SLIS (Specialist Libraries and Information Services)","Judith Forman","Senior Advisor, Library and Records Management","judith.forman@justice.govt.nz","+64 4 494 9916","+64 4 494 9747","0","","","","","","","","","","T","T","T","Charter","T","","14","","14","Discretionary charges to non-charter & non-publically funded libraries.","","","14","","14","Wellington","Wellington","-41.27854","174.775293",
"Edgecumbe Choir Inc.","Other","Music Hire","Active","","WKEC","41 Arawa Street, Matata, RD 4, Whakatane","PO Box 630, , Whakatane - 3158","http://www.edgechoir.org.nz","+64 7 308 5211","+64 7 322 2166","matatabp@xtra.co.nz","Colleen Woodley Librarian","","","","WKEC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Whakatane","Bay of Plenty","","",
"Bay of Plenty District Health Board, Whakatane Hospital Library","Other","Health","Active","","WKM","Whakatane Hospital, Stewart Street, Whakatane","PO Box 241, , Whakatane - 3158","","+64 7 306 0819","+64 7 306 0979","carol.charters@bopdhb.govt.nz","","Whakatane Hospital Library, Bay of Plenty District Health Board","T","HealthLibs Network, EPIC","Carol Charters","Library Manager (& Interloans)","library@bopdhb.govt.nz","+64 7 306 0979","+64 7 306 0819","0","","","","","","","","","","T","T","T","Charter","T","15","15","15","15","No charge to HealthLib members.","","20","20","20","20","Whakatane","Bay of Plenty","-37.9688265789449","176.978806243443",
"Whakatane District Libraries","Public","Public Library","Active","","WKP","49 Kakahoroa Drive, , Whakatane","PO Box 361, , Whakatane - 3158","www.whakatane.govt.nz/library","+64 7 306 0509","+64 7 306 0571","library@whakatane.govt.nz","","","T","","Tangimeriana Rua","Coordinator: Library Services","tangimerianar@whakatane.govt.nz","+64 7 306 0571","+64 7 306 0511","Michelle Kohu","Library Technician","library@whakatane.govt.nz","+64 7 306 0509","","","","","","","T","T","T","Charter","T","14","14","14","14","","","24","24","24","24","Whakatane","Bay of Plenty","-37.9579","176.993",
"Environment Bay Of Plenty Library","Other","Local Government","Active","","WKRG","5 Quay Street, , Whakatane","PO Box 364, , Whakatane - 3158","www.envbop.govt.nz","0800 368 267","0800 368 329","info@envbop.govt.nz","","Bay of Plenty Environment Library","T","SLIS NORTH","Elizabeth Jarrett","Librarian","elizabeth.jarrett@envbop.govt.nz","0800 368 329","0800 368 288 x 9288","Elizabeth Jarrett","Librarian","elizabeth.jarrett@envbop.govt.nz","0800 368 288 x 9288","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Whakatane","Bay of Plenty","-37.9496453041062","177.000808361267",
"Te Whare Wananga o Awanuiarangi Library","Tertiary","Tertiary","Active","","WKW","Cnr Francis & Domain Roads, , Whakatane","Private Bag 1006, , Whakatane - 3158","www.wananga.ac.nz","+64 7 307 1467","+64 7 307 1475","library@wananga.ac.nz","","Whare Wananga o Awanuiarangi, Te, Library","T","","Mereana Coleman","Library Manager","library@wananga.ac.nz","","+64 7 307-1467","Mereana Coleman","Library Manager","library@wananga.ac.nz","+64 7 307-1467","","","","","","","T","T","T","Non-Charter","T","","","","","","","","","","","Whakatane","Bay of Plenty","-37.9584910539123","176.989846666919",
"New Zealand Law Society Library, Wellington","Other","Law","Active","","WL","High Court Building, Kate Sheppard Place entrance, Wellington","PO Box 494, , Wellington -","http://www.lawsocietylibrary.org.nz/catalogue/","+64 4 473 6202","+64 4 471 2568","wellington@nzlslibrary.org.nz","","New Zealand Law Society Library, Wellington","T","","Robin Anderson","Library Manager","robin.anderson@lawsociety.org.nz","","","Liz Oliver","Interloans Contact","liz.oliver@lawsociety.org.nz","+64 4 473 6202/0800 367 529","","","","","","","T","T","T","Charter","T","20","20","20","20","","","34","54","34","54","Wellington","Wellington","-41.2777746066275","174.77877806923",
"Employment Relations Service (SEE WLA)","Other","Government","SeeRef","","WLAC",", , Wellington",", , Wellington -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2770077294392","174.779449830051",
"Law Commission Library","Other","Government","Active","Te Aka Matua o Te Ture","WLC","171 Featherston St.(Level 19), , Wellington 6011","PO Box 2590, , Wellington 6140 -","www.lawcom.govt.nz","+64 4 473 3453","+64 4 471 0959","library@lawcom.govt.nz","","","T","NZLLG, SLIS, LIANZA","Peter Adamson","Principal Librarian","padamson@lawcom.govt.nz or library@lawcom.govt.nz","+64 4 471 0959","+64 4 914 4810","Interloan contact","","library@lawcom.govt.nz","+64 4 914 4831","","","","","","","T","T","T","Non-Charter","T","","","","","No domestic charges.","","","","","","Wellington","Wellington","-41.281831954207","174.774971334363",
"Luke, Cunningham & Clere","Other","Business","Active","","WLCC","Level 10, Novell House, 89 The Terrace, Wellington","P O Box 10-357, , Wellington -","www.lcc.co.nz","+64 4 473 2175","","nmc@lcc.co.nz","","","","","Nicole Cottrell","","nmc@lcc.co.nz","","+64 4 473 2175","Nicole Cottrell","","nmc@lcc.co.nz","+64 4 473 2175","","","","","","","","","","tba","","","","","","","","","","","","Wellington","Wellington","","",
"Learning Media Library CLOSED October 2013","Other","Education","ClosedRef","","WLM",", , Wellington",", , Wellington -","","","","","Learning Media Library closed October 2013","","F","EDLIBS (Education Libraries)","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","","",
"Inland Revenue Library & Information Services","Other","Government","Active","Te Tari Taake","WLT","55 Featherston Street, , Wellington","PO Box 2198, , Wellington - 6140","www.ird.govt.nz","+64 3 951 2037","+64 4 968 4600","library@ird.govt.nz","","IRD Library & Information Services","T","","Angela McLuckie","Library Manager","angela.mcluckie@ird.govt.nz","+64 4 968 4600","+64 4 890 6137","Louise Hall","Interloans Librarian","louise.hall@ird.govt.nz","+64 3 951 2037","","","","","","","T","T","T","Charter","T","14","14","14","14","Fax surcharge for urgents","","14","14","14","14","Wellington","Wellington","-41.277","174.779449830051",
"Wellington Medical and Health Sciences Library","Other","Health","Active","","WM","23A Mein Street, Newtown, Wellington","PO Box 7343, , Wellington South - 6242","http://www.otago.ac.nz/wellington/library/","+64 4 385 5914","+64 4 385 5832","medlibil.wsmhs@otago.ac.nz","","Wellington Medical and Health Sciences Library","T","HealthLibs Network","Kareen Carter","Health Sciences Librarian","kareen.carter@otago.ac.nz","+64 4 385 5832","+64 4 385 5348","Michael Fauchelle","Library Assistant","medlibil.wsmhs@otago.ac.nz","+64 4 385 5307","","","","","","","T","T","T","Charter","T","14","20","14","20","","","39","45","39","45","Wellington","Wellington","-41.3108421785785","174.779658643852",
"Te Puni Kökiri Library","Other","Government","Active","","WMAO","Te Puni Kokiri House, 143 Lambton Quay, Wellington","PO Box 3943, , Wellington - 6140","www.tpk.govt.nz","+64 4 819 6177","+64 4 819 6267","library@tpk.govt.nz","Member of GIG","","T","","Gabrielle Hikaka","The Librarian","hikag@tpk.govt.nz","+64 4 819 6267","+64 4 819 6786","Interloans Contact","","library@tpk.govt.nz","+64 4 819 6177","","","","","","","T","T","T","Charter","T","","","","","No charges","No charges. No loans supplied.","","","","","Wellington","Wellington","-41.2814114541336","174.775962932831",
"Meteorological Service of New Zealand (MetService) Library","Other","Business","Active","","WMET","30 Salamanca Road, Kelburn, Wellington","PO Box 722, Kelburn, Wellington - 6140","www.metservice.com","+64 4 470 0825","+64 4 473 5231","linda.stopforth@metservice.com","Librarian's hours are Monday & Thursday 8.30-1.00. Speculative requests welcome.","MetService (Meterological Service) of New Zealand Library","F","","Linda Stopforth","Library Manager","Linda.Stopforth@metservice.com","+64 4 473 5231","+64 4 470 0825","Penny Bull","","penny.bull@metservice.com","+64 4 470 0825","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2829732061296","174.769844075839",
"Waimate Public Library","Public","public library","Active","","WMTP","Queen Street, , Waimate","PO Box 122, , Waimate - 7960","http://www.waimatedc.govt.nz/Council/library.htm","+64 3 689 0071","+64 3 689 8075","library@waimatedc.govt.nz","","","T","","Tony Morton","Senior Librarian","tony@waimatedc.govt.nz","+64 3 689 8075","+64 3 689 0071","Tony Morton","Interloans Librarian","tony@waimatedc.govt.nz","+64 3 689 0071","","","","","","","T","T","T","Charter","T","5","14","5","14","","","5","14","5","14","Waimate","Canterbury","-44.7337","171.0481",
"Museum of New Zealand, Te Aka Matua Library","0","Museum","Active","Te Papa Tongarewa","WMU","Cable Street, , Wellington","PO Box 467, , Wellington - 6140","http://tinyurl.com/ybdmead","+64 4 381 7096","+64 4 381 7280","interloans@tepapa.govt.nz","Interloans free to all NZ Museum Libraries","Te Papa Library","T","","Trish Evans","Corporate Information Manager","trish.evans@tepapa.govt.nz","","+64 4 381 7081","Christine Kiddey","Liaison Librarian","Interloans@tepapa.govt.nz","+64 4 381 7325","","","","","","","T","T","T","Charter","T","24","40","20","20","Free to all NZ Museum Libraries","","60","75","45","45","Wellington","Wellington","-41.2897958303114","174.778947144665",
"National Library of New Zealand, Wellington","Other","National Library","Active","Te Puna Matauranga o Aotearoa","WN","Collection Delivery, National Library of New Zealand, Dockway 1, Aitken Street, Wellington","PO Box 1467, , Wellington - 6140","http://www.natlib.govt.nz","+64 4 474 3000","+64 4 474 3035","info@dia.govt.nz or dss@dia.govt.nz (interloans)","Please see web site for specific services.
For exact serial holdings please see the National Library catalogue.","Wellington, National Library of New Zealand","T","","0","","","","","Lorraine Brennan","Team Leader, Collection Delivery","dss@dia.govt.nz","+64 4 474 3144","","","","","","","F","T","T","Charter","T","0","16","0","14","Urgents price varies","","25","35","25","35","Wellington","Wellington","-41.2766","174.7784",
"CLOSED MAY 2012","Other","National Library","ClosedRef","Te Puna Matauranga o Aotearoa","WNCIC",", , Wellington",", , Wellington -","","","","","Formerly WNPP","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2765","174.7783",
"National Library of New Zealand, Music Room","Other","Music Hire","Active","","WNMH","77 Thorndon Quay, Pipitea, Wellington","PO Box 1467, , Wellington - 6140","http://www.natlib.govt.nz","+64 4 474 3025","+64 4 474 3070","musichire@natlib.govt.nz","","","","","WNMH Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Wellington","Wellington","","",
"National Library of New Zealand, Wellington: Document Locating & International Interloan Service","Other","National Library","Active","Te Puna Matauranga o Aotearoa","WNRI","70 Molesworth Street, , Wellington","PO Box 1467, , Wellington - 6140","","+64 4 474 3030","+64 4 474 3070","Document.Locating@dia.govt.nz","Service provider only, no collection.","Document Locating & International Interloan Service, National Library of New Zealand, Wellington","T","","0","","","","","0","","","","","","","","","","","T","T","Charter","T","","","","","","","","","","","Wellington","Wellington","-41.2764","174.7782",
"Wellington Nursing Library (SEE WM)","Other","Health","SeeRef","","WNU",", , Wellington",", , Wellington South -","","","","","","","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.3102","174.7781",
